Company,Breakdown,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,Research & Development,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Unusual Items Excluding Goodwill,Total Unusual Items,Earnings from Equity Interest Net of Tax,Average Dilution Earnings
Texas Instruments Incorporated,12/31/2021,"18,344,000",,"5,968,000","12,376,000","3,220,000",,,"9,156,000","-184,000",,,"-53,000",,"8,919,000","1,150,000","7,736,000",,,,"7,736,000",8.42,8.26,"923,000","936,000","8,960,000","9,188,000","7,769,000","7,939,520",,"184,000","-184,000","9,103,000",-,"5,968,000","954,000","7,769,000","10,253,000",0,"-25,480","-196,000","-196,000",,0
Texas Instruments Incorporated,12/31/2020,"14,461,000",,"5,192,000","9,269,000","3,153,000",,,"6,116,000","-190,000",,,"91,000",,"6,017,000","422,000","5,595,000",,,,"5,568,000",6.07,5.97,"921,000","933,000","5,894,000","8,345,000","5,595,000","5,801,460",,"190,000","-190,000","6,207,000",-,"5,192,000","992,000","5,595,000","7,421,000",0,"-15,540","-222,000","-222,000",,"-27,000"
Texas Instruments Incorporated,12/31/2019,"14,383,000",,"5,219,000","9,164,000","3,189,000",,,"5,975,000","-170,000",,,"-77,000",,"5,728,000","711,000","5,017,000",,,,"4,986,000",5.36,5.24,"936,000","952,000","5,723,000","8,408,000","5,017,000","5,237,720",,"170,000","-170,000","5,898,000",-,"5,219,000","1,050,000","5,017,000","7,200,000",0,"-31,280","-252,000","-252,000",,"-31,000"
"Advanced Micro Devices, Inc.",ttm,"23,601,000",,"12,998,000","10,603,000","9,339,000",,,"1,264,000","-23,000",,,"-57,000",,"1,184,000","-122,000","1,320,000",,,,"1,320,000",-,-,-,-,"1,264,000","22,337,000","1,320,000","1,320,000","65,000","88,000","-23,000","1,272,000","5,534,000","10,836,000","4,262,000","1,320,000","5,534,000",0,0,0,0,"14,000",0
"Advanced Micro Devices, Inc.",12/31/2022,"23,601,000",,"12,998,000","10,603,000","9,339,000",,,"1,264,000","-23,000",,,"-57,000",,"1,184,000","-122,000","1,320,000",,,,"1,320,000",-,-,-,-,"1,264,000","22,337,000","1,320,000","1,320,000","65,000","88,000","-23,000","1,272,000",-,"10,836,000","4,262,000","1,320,000","5,534,000",0,0,0,0,"14,000",0
"Advanced Micro Devices, Inc.",12/31/2021,"16,434,000",,"8,505,000","7,929,000","4,281,000",,,"3,648,000","-26,000",,,"47,000",,"3,669,000","513,000","3,162,000",,,,"3,162,000",2.61,2.57,"1,213,000","1,229,000","3,648,000","12,786,000","3,162,000","3,168,020","8,000","34,000","-26,000","3,703,000",-,"8,505,000","463,000","3,162,000","4,173,000",0,-980,"-7,000","-7,000","6,000",-
"Advanced Micro Devices, Inc.",12/31/2020,"9,763,000",,"5,416,000","4,347,000","2,978,000",,,"1,369,000","-39,000",,,"-55,000",,"1,275,000","-1,210,000","2,490,000",,,,"2,491,000",2.10,2.06,"1,184,000","1,207,000","1,369,000","8,394,000","2,490,000","2,529,420","8,000","47,000","-39,000","1,322,000",-,"5,416,000","354,000","2,490,000","1,730,000",0,"-14,580","-54,000","-54,000","5,000","1,000"
"Advanced Micro Devices, Inc.",12/31/2019,"6,731,000",,"3,863,000","2,868,000","2,237,000",,,"631,000","-79,000",,,"-180,000",,"372,000","31,000","341,000",,,,"341,000",0.31,0.30,"1,091,000","1,120,000","631,000","6,100,000","341,000","502,333","15,000","94,000","-79,000","466,000",-,"3,863,000","258,000","341,000","900,000",0,"-14,667","-176,000","-176,000",0,-
SAP SE,ttm,"30,872,000",,"8,936,000","21,936,000","17,125,000",,,"4,811,000","-1,385,000",,,"-333,000",,"3,092,000","1,378,000","2,290,000",,,,"2,290,000",-,-,-,-,"4,672,000","26,061,000","2,290,000","2,372,800","820,000","2,205,000","-1,385,000","5,297,000","7,193,000","8,936,000","1,896,000","2,290,000","7,331,000",0,"-55,200","-138,000","-138,000",,
SAP SE,12/31/2022,"30,871,000",,"8,936,000","21,935,000","17,127,000",,,"4,808,000","-1,385,000",,,"-333,000",,"3,090,000","1,382,000","2,284,000",,,,"2,284,000",-,-,-,-,"4,670,000","26,063,000","2,284,000","2,457,400","820,000","2,205,000","-1,385,000","5,295,000",-,"8,936,000","1,896,000","2,284,000","7,480,000",0,"-115,600","-289,000","-289,000",,
SAP SE,12/31/2021,"27,842,000",,"7,946,000","19,897,000","15,083,000",,,"4,814,000","2,174,000",,,"-141,000",,"6,847,000","1,471,000","5,256,000",,,,"5,256,000",4.56,4.56,"1,179,579","1,179,579","4,656,000","23,029,000","5,256,000","5,340,797","3,123,000","949,000","2,174,000","7,796,000",-,"7,946,000","1,775,000","5,256,000","9,679,000",0,"-23,203","-108,000","-108,000",,
SAP SE,12/31/2020,"27,338,000",,"7,886,000","19,453,000","12,832,000",,,"6,621,000","776,000",,,"-176,000",,"7,220,000","1,938,000","5,145,000",,,,"5,145,000",4.35,4.35,"1,182,000","1,182,000","6,623,000","20,718,000","5,145,000","5,255,532","1,473,000","697,000","776,000","7,917,000",-,"7,886,000","1,831,000","5,145,000","9,899,000",0,"-40,468","-151,000","-151,000",,
SAP SE,12/31/2019,"27,553,000",,"8,355,000","19,199,000","13,596,000",,,"5,603,000","198,000",,,"-1,204,000",,"4,596,000","1,226,000","3,321,000",,,,"3,321,000",2.80,2.80,"1,194,000","1,194,000","4,473,000","21,951,000","3,321,000","3,924,259","787,000","589,000","198,000","5,185,000",-,"8,355,000","1,872,000","3,321,000","7,880,000",0,"-219,741","-823,000","-823,000",,
Intel Corporation,ttm,"63,054,000",,"36,188,000","26,866,000","24,530,000",,,"2,336,000","1,166,000",,,"4,266,000",,"7,768,000","-249,000","8,014,000",,,,"8,014,000",-,-,-,-,"2,334,000","60,718,000","8,014,000","5,454,400","589,000","496,000","1,166,000","8,264,000","21,299,000","36,188,000","13,035,000","8,014,000","17,033,000",0,"1,706,400","4,266,000","4,266,000",,
Intel Corporation,12/31/2022,"63,054,000",,"36,188,000","26,866,000","24,530,000",,,"2,336,000","1,166,000",,,"4,266,000",,"7,768,000","-249,000","8,014,000",,,,"8,014,000",-,-,-,-,"2,334,000","60,718,000","8,014,000","5,454,400","589,000","496,000","1,166,000","8,264,000",-,"36,188,000","13,035,000","8,014,000","17,033,000",0,"1,706,400","4,266,000","4,266,000",,
Intel Corporation,12/31/2021,"79,024,000",,"35,209,000","43,815,000","21,733,000",,,"22,082,000","-482,000",,,"103,000",,"21,703,000","1,835,000","19,868,000",,,,"19,868,000",4.89,4.86,"4,059,000","4,090,000","19,456,000","56,942,000","19,868,000","19,773,755","144,000","597,000","-482,000","22,300,000",-,"35,209,000","11,792,000","19,868,000","33,989,000",0,"8,755","103,000","103,000",,
Intel Corporation,12/31/2020,"77,867,000",,"34,255,000","43,612,000","19,736,000",,,"23,876,000","-504,000",,,"1,706,000",,"25,078,000","4,179,000","20,899,000",,,,"20,899,000",4.98,4.94,"4,199,000","4,232,000","23,678,000","53,991,000","20,899,000","19,477,902","272,000","629,000","-504,000","25,707,000",-,"34,255,000","12,239,000","20,899,000","36,240,000",0,"284,902","1,706,000","1,706,000",,
Intel Corporation,12/31/2019,"71,965,000",,"29,825,000","42,140,000","19,712,000",,,"22,428,000","484,000",,,"1,146,000",,"24,058,000","3,010,000","21,048,000",,,,"21,048,000",4.77,4.71,"4,417,000","4,473,000","22,035,000","49,537,000","21,048,000","20,045,250","483,000","489,000","484,000","24,547,000",-,"19,199,000","10,826,000","21,048,000","34,227,000",0,"143,250","1,146,000","1,146,000",,
QUALCOMM Incorporated,ttm,"42,958,000",,"18,376,000","24,582,000","10,121,000",,,"14,461,000","-392,000",,,"-565,000",,"13,504,000","1,644,000","11,772,000",,,,"11,772,000",-,-,-,-,"14,461,000","28,497,000","11,772,000","12,224,477","129,000","521,000","-392,000","14,025,000","15,779,000","18,376,000","1,754,000","11,860,000","16,194,000",0,"-50,523","-415,000","-415,000",,
QUALCOMM Incorporated,9/30/2022,"44,200,000",,"18,635,000","25,565,000","9,705,000",,,"15,860,000","-399,000",,,"-463,000",,"14,998,000","2,012,000","12,936,000",,,,"12,936,000",11.52,11.37,"1,123,000","1,137,000","15,860,000","28,340,000","12,936,000","13,260,050","91,000","490,000","-399,000","15,488,000",-,"18,635,000","1,762,000","12,986,000","17,565,000",0,"-40,950","-315,000","-315,000",,
QUALCOMM Incorporated,9/30/2021,"33,566,000",,"14,262,000","19,304,000","9,515,000",,,"9,789,000","-476,000",,,"961,000",,"10,274,000","1,231,000","9,043,000",,,,"9,043,000",7.99,7.87,"1,131,000","1,149,000","9,789,000","23,777,000","9,043,000","8,323,160","83,000","559,000","-476,000","10,833,000",-,"14,262,000","1,582,000","9,043,000","11,597,000",0,"98,160","818,000","818,000",,
QUALCOMM Incorporated,9/30/2020,"23,531,000",,"9,255,000","14,276,000","8,021,000",,,"6,255,000","-446,000",,,"-90,000",,"5,719,000","521,000","5,198,000",,,,"5,198,000",4.58,4.52,"1,135,000","1,149,000","6,255,000","17,276,000","5,198,000","5,303,560","156,000","602,000","-446,000","6,321,000",-,"9,255,000","1,393,000","5,198,000","7,830,000",0,"-10,440","-116,000","-116,000",,
QUALCOMM Incorporated,9/30/2019,"24,273,000",,"8,599,000","15,674,000","8,007,000",,,"7,667,000","-311,000",,,"125,000",,"7,481,000","3,095,000","4,386,000",,,,"4,386,000",3.63,3.59,"1,210,000","1,220,000","7,667,000","16,606,000","4,386,000","4,226,860","316,000","627,000","-311,000","8,108,000",-,"8,599,000","1,401,000","4,386,000","9,291,000",0,"58,860","218,000","218,000",,
Intuit Inc.,ttm,"13,684,000",,"2,873,000","10,811,000","8,145,000",,,"2,666,000","-128,000",,,"-4,000",,"2,534,000","588,000","1,946,000",,,,"1,946,000",-,-,-,-,"2,666,000","11,018,000","1,946,000","1,946,000","39,000","167,000","-128,000","2,701,000","3,536,000","2,522,000","835,000","1,946,000","3,536,000",0,0,-,-,,
Intuit Inc.,7/31/2022,"12,726,000",,"2,406,000","10,320,000","7,749,000",,,"2,571,000","-66,000",,,"37,000",,"2,542,000","476,000","2,066,000",,,,"2,066,000",7.38,7.28,"280,000","284,000","2,571,000","10,155,000","2,066,000","2,066,000","15,000","81,000","-66,000","2,623,000",-,"2,076,000","746,000","2,066,000","3,369,000",0,0,-,-,,
Intuit Inc.,7/31/2021,"9,633,000",,"1,683,000","7,950,000","5,450,000",,,"2,500,000","-18,000",,,"74,000",,"2,556,000","494,000","2,062,000",,,,"2,062,000",7.65,7.56,"270,000","273,000","2,500,000","7,133,000","2,062,000","2,062,000","11,000","29,000","-18,000","2,585,000",-,"1,466,000","363,000","2,062,000","2,948,000",0,0,-,-,,
Intuit Inc.,7/31/2020,"7,679,000",,"1,378,000","6,301,000","4,125,000",,,"2,176,000","25,000",,,"-3,000",,"2,198,000","372,000","1,826,000",,,,"1,826,000",6.99,6.92,"261,000","264,000","2,176,000","5,503,000","1,826,000","1,826,000","39,000","14,000","25,000","2,212,000",-,"1,166,000","218,000","1,826,000","2,430,000",0,0,-,-,,
Intuit Inc.,7/31/2019,"6,784,000",,"1,167,000","5,617,000","3,763,000",,,"1,854,000","31,000",,,"-4,000",,"1,881,000","324,000","1,557,000",,,,"1,557,000",5.99,5.89,"260,000","264,000","1,854,000","4,930,000","1,557,000","1,557,000","46,000","15,000","31,000","1,896,000",-,"948,000","225,000","1,557,000","2,121,000",0,0,"3,000","3,000",,
International Business Machines Corporation,ttm,"60,530,000",,"27,843,000","32,687,000","24,513,000",,,"8,174,000","-1,216,000",,,"-5,803,000",,"1,156,000","-626,000","1,639,000",,,,"1,639,000",-,-,-,-,,"52,356,000","1,639,000","1,782,000","162,000","1,216,000","-1,216,000","2,372,000","7,174,000","27,843,000","4,802,000","1,782,000","7,174,000",0,0,"161,000","161,000",,-
International Business Machines Corporation,12/31/2022,"60,530,000",,"27,842,000","32,687,000","24,533,000",,,"8,154,000","-1,054,000",,,"-5,944,000",,"1,156,000","-626,000","1,639,000",,,,"1,639,000",-,-,-,-,,"52,375,000","1,640,000","1,686,400","162,000","1,216,000","-1,054,000","2,372,000",-,"24,102,000","4,802,000","1,783,000","7,013,000",0,"64,400","161,000","161,000",,-
International Business Machines Corporation,12/31/2021,"57,351,000",,"25,865,000","31,486,000","24,654,000",,,"6,832,000","-1,103,000",,,"-890,000",,"4,837,000","124,000","5,743,000",,,,"5,743,000",6.41,6.35,"896,000","904,600",,"50,519,000","5,742,000","4,549,342","52,000","1,155,000","-1,103,000","5,992,000",-,"20,564,000","6,417,000","4,712,000","12,242,000",0,"4,342","167,000","167,000",,0
International Business Machines Corporation,12/31/2020,"73,621,000",,"38,046,000","35,575,000","28,680,000",,,"6,895,000","-1,183,000",,,"-1,074,000",,"4,637,000","-864,000","5,590,000",,,,"5,588,000",6.28,6.23,"890,300","896,600",,"66,726,000","5,590,000","5,574,000","105,000","1,288,000","-1,183,000","5,925,000",-,"32,474,000","6,695,000","5,501,000","12,720,000",0,"-27,000","-100,000","-100,000",,"-2,000"
International Business Machines Corporation,12/31/2019,"77,147,000",,"40,659,000","36,488,000","25,857,000",,,"10,631,000","-995,000",,,"529,000",,"10,166,000","731,000","9,431,000",,,,"9,431,000",10.63,10.56,"887,200","892,800",,"66,516,000","9,431,000","9,242,904","349,000","1,344,000","-995,000","11,510,000",-,"35,362,000","6,059,000","9,435,000","17,362,000",0,"14,904","207,000","207,000",,0
Sony Group Corporation,ttm,"10,740,273,000",,"7,682,806,000","3,057,467,000","1,926,734,000",,,"1,130,733,000","-28,038,000",,,"22,641,000",,"1,125,336,000","197,882,000","920,050,000",,,,"920,135,000",-,-,-,-,"1,218,371,000","9,609,540,000","920,050,000","976,686,097","11,869,000","27,672,000","-28,038,000","1,153,008,000","2,103,768,000","7,682,806,000","950,760,000","920,050,000","2,172,488,000",0,"-12,083,903","-68,720,000","-68,720,000",,"85,000"
Sony Group Corporation,3/31/2022,"9,921,513,000",,"7,219,841,000","2,701,672,000","1,588,473,000",,,"1,113,199,000","-19,839,000",,,"24,143,000",,"1,117,503,000","229,097,000","882,178,000",,,,"882,341,000",711.84,705.16,"1,239,299","1,251,260","1,202,339,000","8,808,314,000","882,178,000","936,810,400","6,996,000","14,600,000","-19,839,000","1,132,103,000",-,"7,219,841,000","835,233,000","882,178,000","2,036,056,000",0,"-14,087,600","-68,720,000","-68,720,000",,"163,000"
Sony Group Corporation,3/31/2021,"8,999,360,000",,"6,561,559,000","2,437,801,000","1,469,955,000",,,"967,846,000","-1,728,000",,,"226,252,000",,"1,192,370,000","995,000","1,171,776,000",,,,"1,171,776,000",952.29,936.90,"1,230,480","1,250,692","971,865,000","8,031,514,000","1,171,776,000","947,970,030","10,457,000","12,185,000","-1,728,000","1,204,555,000",-,"6,561,559,000","663,737,000","1,171,776,000","1,644,262,000",0,"224,030","224,030,000","224,030,000",,-
Sony Group Corporation,3/31/2020,"8,259,885,000",,"5,925,049,000","2,334,836,000","1,502,625,000",,,"832,211,000","8,188,000",,,"-40,949,000",,"799,450,000","177,190,000","582,191,000",,,,"582,191,000",471.64,461.23,"1,234,408","1,262,255","845,459,000","7,427,674,000","582,191,000","622,033,158","19,278,000","11,090,000","8,188,000","810,540,000",-,"5,925,049,000","746,451,000","582,191,000","1,608,202,000",0,"-11,368,842","-51,211,000","-51,211,000",,-
"Applied Materials, Inc.",ttm,"26,253,000",,"14,074,000","12,179,000","4,397,000",,,"7,782,000","-147,000",,,-,,"7,635,000","1,185,000","6,450,000",,,,"6,450,000",-,-,-,-,"7,782,000","18,471,000","6,450,000","6,450,000","83,000","230,000","-147,000","7,865,000","8,327,000","14,074,000","462,000","6,450,000","8,327,000",0,0,0,0,,
"Applied Materials, Inc.",10/31/2022,"25,785,000",,"13,792,000","11,993,000","4,209,000",,,"7,784,000","-189,000",,,"4,000",,"7,599,000","1,074,000","6,525,000",,,,"6,525,000",7.49,7.44,"871,000","877,000","7,788,000","18,001,000","6,525,000","6,521,564","39,000","228,000","-189,000","7,827,000",-,"13,792,000","444,000","6,525,000","8,267,000",0,564,"4,000","4,000",,
"Applied Materials, Inc.",10/31/2021,"23,063,000",,"12,149,000","10,914,000","3,714,000",,,"7,200,000","-118,000",,,"-311,000",,"6,771,000","883,000","5,888,000",,,,"5,888,000",6.47,6.40,"910,000","919,000","6,889,000","15,863,000","5,888,000","6,158,570","118,000","236,000","-118,000","7,007,000",-,"12,149,000","394,000","5,888,000","7,712,000",0,"-40,430","-311,000","-311,000",,
"Applied Materials, Inc.",10/31/2020,"17,202,000",,"9,510,000","7,692,000","3,327,000",,,"4,365,000","-199,000",,,-,,"4,166,000","547,000","3,619,000",,,,"3,619,000",3.95,3.92,"916,000","923,000","4,365,000","12,837,000","3,619,000","3,619,000","41,000","240,000","-199,000","4,406,000",-,"9,510,000","376,000","3,619,000","4,782,000",0,0,-,-,,
"Applied Materials, Inc.",10/31/2019,"14,608,000",,"8,222,000","6,386,000","3,036,000",,,"3,350,000","-81,000",,,-,,"3,269,000","563,000","2,706,000",,,,"2,706,000",2.89,2.86,"937,000","945,000","3,350,000","11,258,000","2,706,000","2,706,000","156,000","237,000","-81,000","3,506,000",-,"8,222,000","363,000","2,706,000","3,869,000",0,0,-,-,,
