Company,Breakdown,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,Research & Development,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Unusual Items Excluding Goodwill,Total Unusual Items,Earnings from Equity Interest Net of Tax,Average Dilution Earnings
NVIDIA Corporation,1/31/2022,"26,914,000",,"9,439,000","17,475,000","7,434,000",,,"10,041,000","-207,000",,,"107,000",,"9,941,000","189,000","9,752,000",,,,"9,752,000",3.91,3.85,"2,496,000","2,535,000","10,041,000","16,873,000","9,752,000","9,752,000","29,000","236,000","-207,000","10,177,000",-,"9,439,000","1,174,000","9,752,000","11,351,000",0,0,-,-,,
NVIDIA Corporation,1/31/2021,"16,675,000",,"6,279,000","10,396,000","5,864,000",,,"4,532,000","-127,000",,,"4,000",,"4,409,000","77,000","4,332,000",,,,"4,332,000",1.75,1.73,"2,468,000","2,512,000","4,532,000","12,143,000","4,332,000","4,332,000","57,000","184,000","-127,000","4,593,000",-,"6,279,000","1,098,000","4,332,000","5,691,000",0,0,-,-,,
NVIDIA Corporation,1/31/2020,"10,918,000",,"4,150,000","6,768,000","3,922,000",,,"2,846,000","126,000",,,"-2,000",,"2,970,000","174,000","2,796,000",,,,"2,796,000",1.15,1.13,"2,436,000","2,472,000","2,846,000","8,072,000","2,796,000","2,796,000","178,000","52,000","126,000","3,022,000",-,"4,150,000","381,000","2,796,000","3,403,000",0,0,-,-,,
Taiwan Semiconductor Manufacturing Company Limited,ttm,"2,263,889,424",,"915,536,486","1,348,354,806","227,471,796",,,"1,121,278,851","10,672,225",,,"19,492,910",,"1,144,190,718","127,290,203","1,016,530,072",,,,"1,016,530,072",-,-,-,-,"1,121,278,851","906,661,343","1,016,530,072","1,016,530,072","22,422,209","11,749,984","10,672,225","1,155,940,702","1,593,194,975","915,536,486","437,254,273","1,016,530,072","1,589,774,155",0,0,"3,420,820","3,420,820",,
Taiwan Semiconductor Manufacturing Company Limited,12/31/2022,"2,263,889,424",,"915,536,486","1,348,354,806","227,471,796",,,"1,121,278,851","10,672,225",,,"19,492,910",,"1,144,190,718","127,290,203","1,016,530,072",,,,"1,016,530,072",-,-,-,-,"1,121,278,851","906,661,343","1,016,530,072","1,016,530,072","22,422,209","11,749,984","10,672,225","1,155,940,702",-,"915,536,486","437,254,273","1,016,530,072","1,589,774,155",0,0,"3,420,820","3,420,820",,
Taiwan Semiconductor Manufacturing Company Limited,12/31/2021,"1,587,415,000",,"767,877,700","819,537,300","169,556,400",,,"649,980,900","294,600",,,"12,760,500",,"663,036,000","70,155,400","592,359,200",,,,"592,359,200",115.05,115.05,"5,186,076","5,186,076","649,980,900","937,434,100","592,359,200","587,186,307","5,708,800","5,414,200","294,600","668,450,200",-,"767,877,700","422,394,900","592,359,200","1,085,060,100",0,"612,107","5,785,000","5,785,000",,
Taiwan Semiconductor Manufacturing Company Limited,12/31/2020,"1,339,238,500",,"628,108,400","711,130,100","144,346,400",,,"566,783,700","6,936,900",,,"11,025,700",,"584,746,300","73,738,300","510,744,000",,,,"510,744,000",99.85,99.85,"5,186,076","5,186,076","566,783,700","772,454,800","510,744,000","505,171,247","9,018,400","2,081,500","6,936,900","586,827,800",-,"628,108,400","331,724,600","510,744,000","912,175,500",0,"804,147","6,376,900","6,376,900",,
Taiwan Semiconductor Manufacturing Company Limited,12/31/2019,"1,069,988,800",,"577,286,900","492,701,900","119,352,200",,,"373,349,700","12,938,500",,,"3,573,900",,"389,862,100","35,835,100","353,948,000",,,,"353,948,000",66.60,66.60,"5,186,076","5,186,076","372,701,100","696,639,100","353,948,000","353,904,594","16,189,400","3,250,900","12,938,500","393,113,000",-,"577,286,900","286,884,200","353,948,000","679,949,400",0,"4,394","47,800","47,800",,
Broadcom Inc.,ttm,"34,412,000",,"11,362,000","23,050,000","7,780,000",,,"15,270,000","-1,636,000",,,"-47,000",,"13,587,000","790,000","12,599,000",,,,"12,599,000",-,-,-,-,"15,220,000","19,142,000","12,797,000","13,003,267",-,"1,736,000","-1,636,000","15,323,000","20,052,000","8,096,000","4,729,000","12,797,000","20,271,000",0,"-12,733","-219,000","-219,000",,
Broadcom Inc.,10/30/2022,"33,203,000",,"11,108,000","22,095,000","7,813,000",,,"14,282,000","-1,637,000",,,"-211,000",,"12,434,000","939,000","11,223,000",,,,"11,223,000",-,-,-,-,"14,225,000","18,921,000","11,495,000","11,704,050","100,000","1,737,000","-1,637,000","14,171,000",-,"7,636,000","4,984,000","11,495,000","19,381,000",0,"-16,950","-226,000","-226,000",,
