Company,Breakdown,Total Assets,Current Assets,"Cash, Cash Equivalents & Short Term Investments",Cash And Cash Equivalents,Cash,Cash Equivalents,Other Short Term Investments,Receivables,Accounts receivable,Other Receivables,Inventory,Other Current Assets,Total non-current assets,Net PPE,Gross PPE,Properties,Land And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Investments And Advances,Investment in Financial Assets,Available for Sale Securities,Other Investments,Other Non Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Current Deferred Liabilities,Current Deferred Revenue,Other Current Liabilities,Total Non Current Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Debt,Tradeand Other Payables Non Current,Other Non Current Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Gross Accounts Receivable,Allowance For Doubtful Accounts Receivable,Raw Materials,Work in Process,Finished Goods,Hedging Assets Current,Buildings And Improvements,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Long Term Equity Investment,Total Tax Payable,Income Tax Payable,Pension & Other Post Retirement Benefit Plans Current,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Capital Lease Obligations,Prepaid Assets,Construction in Progress,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Prepaid Assets,Other Payable,Current Accrued Expenses,Interest Payable,Current Capital Lease Obligation,Employee Benefits,Preferred Stock,Additional Paid in Capital,Treasury Stock,Treasury Shares Number,Notes Receivable,Due from Related Parties Current,Receivables Adjustments Allowances,Investments in Associatesat Cost,Held To Maturity Securities,Dividends Payable,Due to Related Parties Current,Non Current Pension And Other Post-Retirement Benefit Plans,Other Equity Adjustments,Other Equity Interest,Minority Interest,Preferred Stock Equity,Preferred Shares Number,Taxes Receivable,Inventories Adjustments Allowances,Assets Held for Sale Current,Financial Assets,Non Current Accounts Receivable,Non Current Note Receivables,Defined Pension Benefit,Non Current Accrued Expenses,Derivative Product Liabilities,Loans Receivable,Other Inventories,Current Deferred Assets,Current Provisions,Long Term Provisions,Investments in Other Ventures Under Equity Method,Preferred Securities Outside Stock Equity,Liabilities Held for Sale Non Current,Restricted Cash,Line of Credit,Unrealized Gain Loss,Minimum Pension Liabilities,Foreign Currency Translation Adjustments
ASML Holding N.V.,12/30/2019,"22,629,600","12,131,100","4,718,100","3,532,300","957,800","2,574,500","1,185,800","2,850,500","1,786,800","795,500","3,809,200","131,100","10,498,500","2,323,200","4,626,900",0,"2,036,500","1,965,500","301,000","-2,303,700","833,000",,,,"19,200","10,037,400","4,694,100","2,167,700","1,127,800","1,062,200",-,-,,-,"2,526,400","2,526,400","3,900","5,343,300","3,108,300","3,108,300",,-,"12,592,200","12,592,200","38,200","38,200","9,523,800","277,800","15,700,500","12,592,200","6,946,700","7,437,000","15,700,500","6,946,700","3,108,300",,"425,660","419,811","1,791,900","-5,100","2,026,300","1,505,900","771,300","34,500",,"323,900","5,645,500","4,541,100","1,104,400","833,000","65,600",,,,"1,994,000","234,400","1,759,600",,"587,700",,"445,300","445,300","585,300",,"1,039,900",,,,,"3,772,000","1,019,600","5,849",,,,"833,000",,,,,-,,,,,"268,200","-494,300",-,"103,000","488,900",-,"55,100","241,000",0,,,,,,,,,,,,,
Oracle Corporation,5/30/2022,"109,297,000","31,633,000","21,902,000","21,383,000",,,"519,000","5,953,000","5,953,000",,,,"77,664,000","9,716,000","19,674,000",0,"1,166,000","13,267,000",,"-9,958,000",,,,,"9,915,000","115,065,000","19,511,000","1,317,000","1,317,000","1,317,000","3,749,000","3,749,000",,"3,749,000","8,357,000","8,357,000","4,144,000","95,554,000","72,110,000","72,110,000","12,210,000","5,203,000","-5,768,000","-6,220,000","26,808,000","26,808,000","-31,336,000","-1,692,000","65,890,000","-6,220,000","-51,471,000","12,122,000","69,639,000","-51,471,000","75,859,000","54,476,000","2,665,000","2,665,000","6,315,000","-362,000",,,,,"4,729,000",,"45,251,000","43,811,000","1,440,000",,,,"1,944,000",,"6,031,000","6,031,000",,,"3,778,000","512,000","12,782,000","12,782,000",,,,,,,0,,,,,,,,,,,,,,"452,000",,,,,,,,,,,,,,,,,,,,,,,,
Oracle Corporation,5/30/2021,"131,107,000","55,567,000","46,554,000","30,098,000",,,"16,456,000","5,409,000","5,409,000",,,,"75,540,000","7,049,000","15,800,000",0,"871,000","9,962,000",,"-8,751,000",,,,,"8,490,000","125,155,000","24,164,000","745,000","745,000","745,000","8,250,000","8,250,000",,"8,250,000","8,775,000","8,775,000","4,377,000","100,991,000","75,995,000","75,995,000","12,345,000","4,787,000","5,952,000","5,238,000","26,533,000","26,533,000","-20,120,000","-1,175,000","81,233,000","5,238,000","-41,127,000","31,403,000","89,483,000","-41,127,000","84,245,000","54,147,000","2,814,000","2,814,000","5,782,000","-373,000",,,,,"4,734,000",,"46,365,000","43,935,000","2,430,000",,,,"2,017,000",,"7,864,000","7,864,000",,,"3,604,000","233,000","13,636,000","13,636,000",,,,,,,0,,,,,,,,,,,,,,"714,000",,,,,,,,,,,,,,,,,,,,,,,,
Oracle Corporation,5/30/2020,"115,438,000","52,140,000","43,057,000","37,239,000",,,"5,818,000","5,551,000","5,551,000",,,,"63,298,000","6,244,000","13,825,000",0,"885,000","8,266,000",,"-7,581,000",,,,,"6,295,000","102,721,000","17,200,000","637,000","637,000","637,000","2,371,000","2,371,000",,"2,371,000","8,002,000","8,002,000","4,737,000","85,521,000","69,226,000","69,226,000","12,463,000","3,832,000","12,717,000","12,074,000","26,486,000","26,486,000","-12,696,000","-1,716,000","81,300,000","12,074,000","-35,433,000","34,940,000","83,671,000","-35,433,000","71,597,000","34,358,000","3,067,000","3,067,000","5,960,000","-409,000",,,,,"4,394,000",,"47,507,000","43,769,000","3,738,000",,,,"1,453,000",,-,-,,,"3,532,000","280,000","3,252,000","3,252,000",,,,,,,0,,,,,,,,,,,,,,"643,000",,,,,,,,,,,,,,,,,,,,,,,,
Oracle Corporation,5/30/2019,"108,709,000","46,386,000","37,827,000","20,514,000",,,"17,313,000","5,134,000","5,134,000",,,,"62,323,000","6,252,000","13,075,000",0,"896,000","7,768,000",,"-6,823,000",,,,,"4,317,000","86,346,000","18,630,000","580,000","580,000","580,000","4,494,000","4,494,000",,"4,494,000","8,374,000","8,374,000","3,554,000","67,716,000","51,673,000","51,673,000","13,295,000","2,748,000","22,363,000","21,785,000","26,909,000","26,909,000","-3,496,000","-1,628,000","73,458,000","21,785,000","-27,273,000","27,756,000","77,952,000","-27,273,000","56,167,000","35,653,000","3,359,000","3,359,000","5,505,000","-371,000",,,,,"4,253,000",,"49,058,000","43,779,000","5,279,000",,,,"1,628,000",,-,-,,,"3,425,000","158,000","2,696,000","2,696,000",,,,,,,0,,,,,,,,,,,,,,"578,000",,,,,,,,,,,,,,,,,,,,,,,,
"Cisco Systems, Inc.",7/30/2022,"94,002,000","36,717,000","19,267,000","7,079,000",,,"12,188,000","10,527,000","6,622,000","1,729,000","2,568,000","4,355,000","57,285,000","1,997,000","10,165,000","4,219,000",,"1,114,000",,"-8,168,000",,,,,"5,957,000","54,229,000","25,640,000","3,242,000","3,242,000","2,281,000","1,099,000","1,099,000","600,000","499,000","12,784,000","12,784,000","5,199,000","28,589,000","8,416,000","8,416,000","7,725,000","1,968,000","39,773,000","39,773,000","42,714,000","42,714,000","-1,319,000","-1,622,000","48,189,000","39,773,000","-1,100,000","11,077,000","49,288,000","-1,100,000","9,515,000","2,436,000","4,110,000","4,110,000","6,705,000","-83,000","1,691,000","150,000","717,000",,,"4,832,000","40,873,000","38,304,000","2,569,000",,"961,000","961,000","3,316,000",,"10,480,000",,"10,480,000",,,,"4,449,000","4,449,000",,,,,,,0,,,,,,,,,,,,"-1,622,000",,-,,,,,,,"1,629,000","2,380,000",,,,"2,176,000","10,000",,,,,,,,,,,
"Cisco Systems, Inc.",7/30/2021,"97,497,000","39,112,000","24,518,000","9,175,000",,,"15,343,000","10,146,000","5,766,000","2,008,000","1,559,000","2,889,000","58,385,000","2,338,000","10,918,000","4,304,000",,"1,235,000",,"-8,580,000",,,,,"5,016,000","56,222,000","26,257,000","3,163,000","3,163,000","2,362,000","2,508,000","2,508,000",-,"2,508,000","12,148,000","12,148,000","4,620,000","29,965,000","9,018,000","9,018,000","8,538,000","2,393,000","41,275,000","41,275,000","42,346,000","42,346,000","-654,000","-417,000","50,293,000","41,275,000","-512,000","12,855,000","52,801,000","-512,000","11,526,000","2,351,000","4,217,000","4,217,000","5,875,000","-109,000","975,000","54,000","519,000",,,"5,379,000","41,787,000","38,168,000","3,619,000",,"801,000","801,000","3,818,000",,"10,016,000",,"10,016,000",,,,"4,360,000","4,360,000",,,,,,,-,,,,,,,,,,,,"-417,000",,-,,,,,,,"2,139,000","2,745,000",,,,"2,372,000","11,000",,,,,,,,,,,
"Cisco Systems, Inc.",7/30/2020,"94,853,000","43,573,000","29,419,000","11,809,000",,,"17,610,000","10,523,000","5,472,000","5,051,000","1,282,000","2,349,000","51,280,000","2,453,000","11,014,000","4,252,000",,"1,262,000",,"-8,561,000",,,,,"3,741,000","56,933,000","25,331,000","3,057,000","3,057,000","2,218,000","3,005,000","3,005,000",-,"3,005,000","11,406,000","11,406,000","4,741,000","31,602,000","11,578,000","11,578,000","8,837,000","2,147,000","37,920,000","37,920,000","41,202,000","41,202,000","-2,763,000","-519,000","49,498,000","37,920,000","2,538,000","18,242,000","52,503,000","2,538,000","14,583,000","2,774,000","4,237,000","4,237,000","5,615,000","-143,000","640,000","25,000","601,000",,,"5,500,000","35,382,000","33,806,000","1,576,000",,"839,000","839,000","3,122,000",,"9,040,000",,"9,040,000",,,,"3,990,000","3,990,000",,,,,,,-,,,,,,,,,,,,"-519,000",,-,,,,,,,"5,714,000",-,,,,-,"16,000",,,,,,,,,,,
"Cisco Systems, Inc.",7/30/2019,"97,793,000","47,755,000","33,413,000","11,750,000",,,"21,663,000","10,586,000","5,491,000","5,095,000","1,383,000","2,373,000","50,038,000","2,789,000","12,039,000","4,545,000",,"1,298,000",,"-9,250,000",,,,,"2,496,000","64,222,000","31,712,000","3,208,000","3,208,000","2,059,000","10,191,000","10,191,000","4,193,000","5,998,000","10,668,000","10,668,000","4,424,000","32,510,000","14,475,000","14,475,000","8,927,000","1,309,000","33,571,000","33,571,000","40,266,000","40,266,000","-5,903,000","-792,000","48,046,000","33,571,000","-2,159,000","16,043,000","58,237,000","-2,159,000","24,666,000","12,916,000","4,250,000","4,250,000","5,627,000","-136,000","599,000","10,000","752,000",,,"6,196,000","35,730,000","33,529,000","2,201,000",,"1,149,000","1,149,000","3,221,000",,"7,799,000",,"7,799,000",,,,"4,065,000","4,065,000",,,,,,,0,,,,,,,,,,,,"-792,000",,0,,,,,,,"4,958,000",-,,,,-,"22,000",,,,,,,,,,,
"Salesforce, Inc.",1/30/2023,"98,849,000","26,395,000","12,508,000","7,016,000",,,"5,492,000","10,755,000","10,755,000",,,"1,356,000","72,454,000","6,592,000","9,294,000",0,"293,000","3,815,000","1,807,000","-2,702,000","4,672,000","4,672,000","4,603,000","4,672,000",-,"40,490,000","25,891,000","6,743,000",-,-,"1,772,000","1,182,000",,"1,182,000","17,376,000","17,376,000",,"14,599,000","12,316,000","9,419,000",,"2,283,000","58,359,000","58,359,000","1,000","1,000","7,585,000","-274,000","67,778,000","58,359,000","2,666,000","504,000","68,960,000","2,666,000","14,088,000","3,585,000","1,037,000","1,009,000",-,-,,,,,"489,000","2,890,000","55,693,000","48,568,000","7,125,000",,,,,"2,897,000",,,,"3,487,000",-,,"5,497,000","2,800,000",,,,,"590,000",,0,"55,047,000","4,000,000","28,000",,,,,"69,000",,,,,,,,,,,,,,,,,,,,"1,776,000",,,,,,,,,,
"Salesforce, Inc.",1/30/2022,"95,209,000","22,850,000","10,537,000","5,464,000",,,"5,073,000","9,739,000","9,739,000",,,"1,120,000","72,359,000","5,695,000","8,096,000",0,"293,000","2,780,000","1,656,000","-2,401,000","4,784,000",-,-,"4,784,000",-,"37,078,000","21,788,000","5,474,000",-,-,"686,000",-,,-,"15,628,000","15,628,000",,"15,290,000","13,295,000","10,592,000",,"1,995,000","58,131,000","58,131,000","1,000","1,000","7,377,000","-166,000","68,723,000","58,131,000","1,216,000","1,062,000","68,723,000","1,216,000","13,981,000","5,128,000","989,000","989,000",-,-,,,,,"487,000","2,880,000","56,915,000","47,937,000","8,978,000",,,,,"2,703,000",,,,"3,389,000","1,120,000",,"4,965,000","2,623,000",,,,,"686,000",,0,"50,919,000",-,-,,,,,-,,,,,,,,,,,,,,,,,,,,"1,454,000",,,,,,,,,,
"Salesforce, Inc.",1/30/2021,"66,301,000","21,889,000","11,966,000","6,195,000",,,"5,771,000","7,786,000","7,786,000",,,"991,000","44,412,000","5,663,000","7,618,000",0,"293,000","2,129,000","1,507,000","-1,955,000","3,909,000",-,-,"3,909,000",-,"24,808,000","17,728,000","4,355,000","4,355,000","4,355,000","766,000",-,,-,"12,607,000","12,607,000",,"7,080,000","5,515,000","2,673,000",,"1,565,000","41,493,000","41,493,000","1,000","1,000","5,933,000","-42,000","44,166,000","41,493,000","11,061,000","4,161,000","44,166,000","11,061,000","6,281,000",-,"919,000","919,000",-,-,,,,,"485,000","3,204,000","30,432,000","26,318,000","4,114,000",,,,,"2,842,000",,,,"3,608,000","991,000",,"4,408,000","2,693,000",,,,,"766,000",,0,"35,601,000",-,-,,,,,-,,,,,,,,,,,,,,,,,,,,"1,146,000",,,,,,,,,,
"Salesforce, Inc.",1/30/2020,"55,126,000","15,963,000","7,947,000","4,145,000",,,"3,802,000","6,174,000","6,174,000",,,"916,000","39,163,000","5,415,000","7,216,000",0,"184,000","1,834,000","1,381,000","-1,801,000","1,963,000","1,963,000","1,963,000","1,963,000","1,348,000","21,241,000","14,845,000","3,433,000","3,433,000","3,433,000","750,000",-,,-,"10,662,000","10,662,000",,"6,396,000","5,118,000","2,673,000",,"1,278,000","33,885,000","33,885,000","1,000","1,000","1,861,000","-93,000","36,558,000","33,885,000","3,448,000","1,118,000","36,558,000","3,448,000","5,868,000",-,"893,000","893,000","6,197,000","-23,000",,,,,"777,000","3,040,000","30,437,000","25,134,000","5,303,000",,,,,"2,445,000",,,,"3,195,000","916,000",,"1,348,000",-,,,,,"750,000",,0,"32,116,000",-,-,,,,,-,,,,,,,,,,,,,,,,,,,,"926,000",,,,,,,,,,
Accenture plc,8/30/2022,"47,263,390","21,610,871","7,893,806","7,889,833",,,"3,973","11,776,775","11,776,775",,,"1,940,290","25,652,519","4,677,675","7,167,862",0,,"2,597,488","1,546,230","-2,490,187","317,972","153,808",,,"2,667,595","24,516,302","17,523,496","12,328,675","3,205,956","2,559,485","716,773","9,175",,"9,175","4,478,048","4,478,048",,"6,992,806","2,608,983","45,893","1,198,139","462,233","22,747,088","22,106,097",72,72,"18,203,842","-2,190,342","22,151,990","22,106,097","8,972,804","4,087,375","22,161,165","8,972,804","3,325,756",,"664,561","631,168",,,,,,,"5,609","3,018,535","13,133,293","13,133,293",-,"164,164","646,471","646,471",,"2,563,090","1,031,299","318,584","712,715","3,270,688",,,"4,809,140","4,001,200",,,"9,122,719",,"707,598","1,692,152",,"10,679,180","6,678,037","33,394",,,,,,,,"1,692,152",,"2,091,382","640,991",,,,,,,"46,844",,,,,,,,,,,,,,,,,
Accenture plc,8/30/2021,"43,175,843","19,666,511","8,172,468","8,168,174",,,"4,294","9,728,212","9,728,212",,,"1,765,831","23,509,332","4,821,624","7,234,073",0,,"2,523,032","1,528,462","-2,412,449","329,526",-,,,"2,455,412","23,078,729","15,708,867","10,723,446","3,307,010","2,274,057","756,244","12,080",,"12,080","4,229,177","4,229,177",,"7,369,862","2,750,390","53,473","1,105,896","553,839","20,097,114","19,529,454",72,72,"13,988,748","-1,419,497","19,582,927","19,529,454","8,403,593","3,957,644","19,595,007","8,403,593","3,506,634",,"656,591","632,086",,,,,,,60,"3,182,519","11,125,861","11,125,861","1,710,938",-,"1,032,953","423,400",,"2,696,917","943,716","243,636","700,080","3,441,081",,,"4,738,575","4,007,130",,,"7,416,436",,"744,164","2,016,021",,"8,617,838","3,408,491","24,505",,,,,,,,"2,016,021",,"1,750,784","567,660",,,,,,,"38,334",,,,,,,,,,,,,,,,,
Accenture plc,8/30/2020,"37,078,593","17,749,756","8,509,639","8,415,330",,,"94,309","7,846,892","7,846,892",,,"1,393,225","19,328,837","4,728,914","7,042,645",0,,"2,434,516","1,424,722","-2,313,731","324,514",-,,,"616,800","19,579,420","12,662,590","8,261,972","2,465,825","1,349,874","763,877","7,820",,"7,820","3,636,741","3,636,741",,"6,916,830","2,721,636","54,052","930,695","534,421","17,499,173","17,000,536",72,72,"12,375,533","-1,561,837","17,054,588","17,000,536","8,261,498","5,087,166","17,062,408","8,261,498","3,485,513",,"658,549","634,166",,,,,,,61,"3,183,346","8,739,038","7,709,820","1,029,218",-,"1,115,951","453,542",,"2,667,584","870,634","179,703","690,931","3,423,641",,,"4,876,314","4,153,146",,,"5,796,147",,"756,057","1,859,444",,"7,167,227","2,565,761","24,383",,,,,,,,"1,859,444",,"1,585,302","498,637",,,,,,,"43,257",,,,,,,,,,,,,,,,,
Accenture plc,8/30/2019,"29,789,880","15,450,601","6,130,166","6,126,853",,,"3,313","8,095,071","8,095,071",,,"1,225,364","14,339,279","1,391,166","3,347,195",0,,"2,118,294","1,228,845","-1,956,029","240,313",-,,,"559,513","14,962,189","11,061,896","7,866,650","2,024,658","1,646,641","6,411","6,411",,-,"3,188,835","3,188,835",,"3,900,293","16,247","16,247","892,688","526,988","14,827,691","14,409,008",72,72,"10,421,538","-1,840,577","14,425,255","14,409,008","7,362,679","4,388,705","14,431,666","7,362,679","22,658",,"654,739","635,774",,,,,,,56,"1,391,166","7,046,329","6,205,550","840,779",-,"378,017","378,017",,-,"698,456","133,232","565,224",-,,,"5,030,956","4,349,464",,,"5,841,992",,-,"1,765,914",,"5,804,448","1,388,376","18,965",,,,,,,,"1,765,914",,"1,411,903","418,683",,,,,,,"71,002",,,,,,,,,,,,,,,,,
Adobe Inc.,11/29/2022,"27,165,000","8,996,000","6,096,000","4,236,000","657,000","3,579,000","1,860,000","2,065,000","2,065,000",,,"835,000","18,169,000","2,315,000","3,884,000",0,"144,000","1,497,000","259,000","-1,569,000",,,,,"841,000","13,114,000","8,128,000","1,270,000","571,000","379,000","587,000","500,000",,"500,000","5,297,000","5,297,000",-,"4,986,000","4,046,000","3,629,000","530,000","293,000","14,051,000","14,051,000",0,0,"28,319,000","-293,000","17,680,000","14,051,000","-185,000","868,000","18,180,000","-185,000","4,633,000",-,"601,000","462,000","2,088,000","-23,000",,,,,"902,000","407,000","14,236,000","12,787,000","1,449,000",,"192,000","75,000","974,000","417,000","117,000","28,000","117,000","504,000","835,000","675,000","777,000","777,000",,-,"699,000",-,"87,000",,0,"9,868,000","23,843,000","139,000",,,,,,,,,"-293,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Inc.,11/29/2021,"27,241,000","8,669,000","5,798,000","3,844,000","750,000","3,094,000","1,954,000","1,878,000","1,878,000",,,-,"18,572,000","2,116,000","3,567,000",0,"145,000","1,405,000","268,000","-1,451,000",,,,,"883,000","12,444,000","6,932,000","1,157,000","525,000","312,000","97,000",-,,-,"4,733,000","4,733,000",-,"5,512,000","4,576,000","4,123,000","534,000","252,000","14,797,000","14,797,000",0,0,"23,905,000","-137,000","18,920,000","14,797,000","309,000","1,737,000","18,920,000","309,000","4,673,000","279,000","601,000","475,000","1,894,000","-16,000",,,,,"904,000","443,000","14,488,000","12,668,000","1,820,000",,"173,000","54,000","945,000","453,000","150,000","5,000","145,000","550,000","993,000","402,000","1,085,000","1,085,000",,"40,000","632,000","34,000","97,000",,0,"8,428,000","17,399,000","126,000",,,,,,,,,"-137,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Inc.,11/29/2020,"24,284,000","8,146,000","5,992,000","4,478,000","849,000","3,629,000","1,514,000","1,398,000","1,398,000",,,-,"16,138,000","2,004,000","3,462,000",0,"145,000","1,446,000","284,000","-1,458,000",,,,,"663,000","11,020,000","5,512,000","1,082,000","498,000","306,000","92,000",-,,-,"3,629,000","3,629,000","4,000","5,508,000","4,616,000","4,117,000","529,000","223,000","13,264,000","13,264,000",0,0,"19,611,000","-158,000","17,381,000","13,264,000","1,163,000","2,634,000","17,381,000","1,163,000","4,708,000",-,"601,000","479,000","1,419,000","-21,000",,,,,"901,000","487,000","12,101,000","10,742,000","1,359,000",,"158,000","63,000","705,000","499,000","140,000","10,000","130,000","591,000","756,000","199,000","1,370,000","1,370,000",,"34,000","584,000","32,000","92,000",,0,"7,357,000","13,546,000","122,000",,,,,,,,,"-158,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Inc.,11/29/2019,"20,762,400","6,494,925","4,176,976","2,650,221","466,941","2,183,280","1,526,755","1,534,809","1,534,809",,,-,"14,267,475","1,293,015","2,861,647",0,"144,871","1,568,107","246,244","-1,568,632",,,,,"562,696","10,232,245","8,190,938","1,090,848","409,987","209,499","3,149,343","3,149,343",,"3,149,343","3,377,986","3,377,986","32,531","2,041,307","988,924","988,924","616,102","173,056","10,530,155","10,530,155",61,61,"14,828,562","-188,034","11,519,079","10,530,155","-1,881,609","-1,696,013","14,668,422","-1,881,609","4,138,267","1,488,046","600,834","482,339","1,544,459","-9,650",,,,,"790,193","1,293,015","12,411,764","10,691,199","1,720,565",,"138,550","55,562","540,230",-,"263,225","140,498","122,727",-,"783,140","112,232",-,-,,"61,938","680,861","28,878",-,,0,"6,504,800","10,615,234","118,495",,,,,,,,,"-188,034",,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Instruments Incorporated,12/30/2022,"27,207,000","14,021,000","9,067,000","3,050,000","707,000","2,343,000","6,017,000","1,895,000","1,895,000",,"2,757,000",,"13,186,000","6,876,000","9,950,000",0,"132,000","5,664,000",,"-3,074,000",-,,,,"1,135,000","12,630,000","2,985,000","1,189,000","1,040,000","851,000","500,000","500,000",,"500,000",,,"497,000","9,645,000","8,579,000","8,235,000","302,000","254,000","14,577,000","14,577,000","1,741,000","1,741,000","50,353,000","-254,000","22,812,000","14,577,000","10,063,000","11,036,000","23,312,000","10,063,000","9,079,000","5,685,000","1,741,000","906,000","1,908,000","-13,000","353,000","1,546,000","858,000",,"4,154,000",,"4,514,000","4,362,000","152,000",,"189,000","189,000","799,000","344,000","392,000","66,000",,"344,000","302,000",,"473,000","473,000",,,"149,000",,,"118,000",0,"2,951,000","40,214,000","835,000",,,,,,,,"118,000",,,,,,,,,,,,"188,000",,,,,,,,,,,,,,,
Texas Instruments Incorporated,12/30/2021,"24,676,000","13,685,000","9,739,000","4,631,000","805,000","3,826,000","5,108,000","1,701,000","1,701,000",,"1,910,000",,"10,991,000","5,141,000","7,858,000",0,"132,000","4,236,000",,"-2,717,000",-,,,,"748,000","11,343,000","2,569,000","1,294,000","774,000","653,000","500,000","500,000",,"500,000",,,-,"8,774,000","7,624,000","7,241,000","403,000","186,000","13,333,000","13,333,000","1,741,000","1,741,000","45,919,000","-157,000","20,574,000","13,333,000","8,886,000","11,116,000","21,074,000","8,886,000","8,124,000","3,110,000","1,741,000","924,000","1,709,000","-8,000","245,000","1,067,000","598,000",,"3,490,000",,"4,447,000","4,362,000","85,000",,"121,000","121,000","775,000","383,000","482,000","87,000",,"383,000","335,000",,"263,000","263,000",,,"520,000",,,"79,000",0,"2,630,000","36,800,000","817,000",,,,,,,,"79,000",,,,,,,,,,,,"392,000",,,,,,,,,,,,,,,
Texas Instruments Incorporated,12/30/2020,"19,351,000","10,239,000","6,568,000","3,107,000","625,000","2,482,000","3,461,000","1,414,000","1,414,000",,"1,955,000",,"9,112,000","3,269,000","5,781,000",0,"125,000","3,085,000",,"-2,512,000","49,000",,,,"569,000","10,164,000","2,390,000","1,073,000","549,000","415,000","550,000","550,000",,"550,000",,,-,"7,774,000","6,497,000","6,248,000","457,000","249,000","9,187,000","9,187,000","1,741,000","1,741,000","42,051,000","-360,000","15,435,000","9,187,000","4,551,000","7,849,000","15,985,000","4,551,000","7,047,000","3,691,000","1,740,816","919,354","1,425,000","-11,000","180,000","964,000","811,000",,"2,571,000",,"4,636,000","4,362,000","274,000",,"134,000","134,000","767,000","249,000","440,000","90,000",,"249,000","302,000",,"343,000","343,000",,,"524,000",,,"131,000",0,"2,333,000","36,578,000","821,462",,,,,,,,"131,000",,,,,,,,,,,,"246,000",,,,,,,,,,,,,,,
Texas Instruments Incorporated,12/30/2019,"18,018,000","8,761,000","5,387,000","2,437,000","446,000","1,991,000","2,950,000","1,074,000","1,074,000",,"2,001,000",,"9,257,000","3,303,000","5,740,000",0,"126,000","3,110,000",,"-2,437,000","300,000",,,,"468,000","9,111,000","2,123,000","909,000","434,000","388,000","500,000","500,000",,"500,000",,,-,"6,988,000","5,562,000","5,303,000","506,000","451,000","8,907,000","8,907,000","1,741,000","1,741,000","39,898,000","-347,000","14,210,000","8,907,000","4,136,000","6,638,000","14,710,000","4,136,000","6,062,000","3,366,000","1,740,816","932,032","1,082,000","-8,000","176,000","916,000","909,000",,"2,504,000",,"4,771,000","4,362,000","409,000",,"46,000","46,000","714,000","259,000","376,000","78,000",,"259,000","299,000",,"197,000","197,000",,,"475,000",,,"93,000",0,"2,110,000","34,495,000","808,784",,,,,,,,"93,000",,,,,,,,,,,,"218,000",,,,,,,,,,,,,,,
"Advanced Micro Devices, Inc.",12/30/2022,"67,580,000","15,019,000","5,855,000","4,835,000",-,-,"1,020,000","4,128,000","4,126,000",,"3,771,000","1,265,000","52,561,000","1,973,000","3,480,000",0,"120,000","2,163,000",-,"-1,507,000","83,000",,,,"538,000","12,830,000","6,369,000","4,473,000","2,956,000","2,493,000",-,-,,-,"859,000","859,000","336,000","6,461,000","2,863,000","2,467,000",,"1,664,000","54,750,000","54,750,000","16,000","16,000","-131,000","-41,000","57,217,000","54,750,000","6,093,000","8,650,000","57,217,000","6,093,000","2,863,000",,"1,645,000","1,612,000",,,"231,000","2,648,000","892,000",,"594,000","460,000","48,657,000","24,177,000","24,480,000","83,000",,,"701,000","396,000","1,934,000","1,934,000",,"396,000","1,265,000","143,000","58,000","58,000","1,252,000",,"1,517,000",,-,,,"58,005,000","3,099,000","33,000",,"2,000",,,,,"463,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Micro Devices, Inc.",12/30/2021,"12,419,000","8,583,000","3,608,000","2,535,000",-,-,"1,073,000","2,708,000","2,706,000",,"1,955,000","312,000","3,836,000","1,069,000","2,203,000",0,-,"1,534,000","206,000","-1,134,000","69,000",,,,"234,000","4,922,000","4,240,000","3,125,000","1,406,000","1,321,000","312,000","312,000",,"312,000",-,-,"98,000","682,000","349,000","1,000",,"333,000","7,497,000","7,497,000","12,000","12,000","-1,451,000","-3,000","7,498,000","7,497,000","6,880,000","4,343,000","7,810,000","6,880,000","661,000",,"1,232,000","1,207,000",,,"82,000","1,676,000","197,000",,"206,000","367,000","617,000","289,000","328,000","69,000",,,"705,000","348,000",-,-,,"348,000","312,000","96,000","931,000","931,000","916,000",,"1,719,000",,-,,,"11,069,000","2,130,000","25,000",,"2,000",,,,,"85,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
