Company,Breakdown,Total Assets,Current Assets,"Cash, Cash Equivalents & Short Term Investments",Cash And Cash Equivalents,Cash,Cash Equivalents,Other Short Term Investments,Receivables,Accounts receivable,Other Receivables,Inventory,Other Current Assets,Total non-current assets,Net PPE,Gross PPE,Properties,Land And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Investments And Advances,Investment in Financial Assets,Available for Sale Securities,Other Investments,Other Non Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Current Deferred Liabilities,Current Deferred Revenue,Other Current Liabilities,Total Non Current Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Debt,Tradeand Other Payables Non Current,Other Non Current Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Gross Accounts Receivable,Allowance For Doubtful Accounts Receivable,Raw Materials,Work in Process,Finished Goods,Hedging Assets Current,Buildings And Improvements,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Long Term Equity Investment,Total Tax Payable,Income Tax Payable,Pension & Other Post Retirement Benefit Plans Current,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Capital Lease Obligations,Prepaid Assets,Construction in Progress,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Prepaid Assets,Other Payable,Current Accrued Expenses,Interest Payable,Current Capital Lease Obligation,Employee Benefits,Preferred Stock,Additional Paid in Capital,Treasury Stock,Treasury Shares Number,Notes Receivable,Due from Related Parties Current,Receivables Adjustments Allowances,Investments in Associatesat Cost,Held To Maturity Securities,Dividends Payable,Due to Related Parties Current,Non Current Pension And Other Post-Retirement Benefit Plans,Other Equity Adjustments,Other Equity Interest,Minority Interest,Preferred Stock Equity,Preferred Shares Number,Taxes Receivable,Inventories Adjustments Allowances,Assets Held for Sale Current,Financial Assets,Non Current Accounts Receivable,Non Current Note Receivables,Defined Pension Benefit,Non Current Accrued Expenses,Derivative Product Liabilities,Loans Receivable,Other Inventories,Current Deferred Assets,Current Provisions,Long Term Provisions,Investments in Other Ventures Under Equity Method,Preferred Securities Outside Stock Equity,Liabilities Held for Sale Non Current,Restricted Cash,Line of Credit,Unrealized Gain Loss,Minimum Pension Liabilities,Foreign Currency Translation Adjustments
Taiwan Semiconductor Manufacturing Company Limited,12/30/2021,"3,725,302,200","1,607,072,900","1,204,913,700","1,064,990,200","1,058,808,100","6,182,100","139,923,500","198,362,900","197,586,100",-,"193,102,300","10,521,500","2,118,229,300","2,007,853,100","5,270,071,600",0,"36,266,800","4,060,941,100",,"-3,262,218,500","29,183,500","7,421,300","5,887,900",,"2,592,200","1,573,619,700","758,352,800","601,648,600","439,380,800","193,027,800","119,488,000","119,488,000",,"119,488,000",,,"691,500","815,266,900","634,143,900","613,379,700",,"168,212,200","2,151,682,500","2,149,259,800","259,303,800","259,303,800","1,887,802,900","370,451,000","2,762,639,500","2,149,259,800","2,122,438,100","848,720,100","2,882,127,500","2,122,438,100","753,631,900",,"25,930,380","25,930,380","197,933,100","-347,000","22,839,100","137,700,400","32,562,800","172,500","579,708,000","2,089,046,000","26,821,700","5,379,200","21,442,500","21,762,200","78,496,600","78,496,600","36,524,700","20,764,200","1,873,900","1,873,900",-,"20,764,200",,"593,155,700","49,153,900","49,153,900","2,624,900","23,802,100","162,267,800",,,"11,036,900",,"64,761,500",,,"4,199,909","776,800","-347,020","21,762,200","1,533,400","142,617,100","1,437,200","11,036,900","370,451,000","-62,608,400","2,422,700",,,,,,,,,,,,,,,,,,,,,,,,
Taiwan Semiconductor Manufacturing Company Limited,12/30/2020,"2,760,600,500","1,092,185,300","802,152,600","660,170,600","653,580,600","6,590,000","141,982,000","146,089,000","142,771,597",-,"137,353,400","6,590,200","1,668,415,200","1,583,317,600","4,455,378,900",0,"29,084,500","3,677,109,200",,"-2,872,061,300","27,617,300","8,887,100","4,514,900",,"4,411,000","924,836,700","631,898,400","504,963,100","417,279,900","196,792,300","91,159,000","91,159,000",,"91,159,000",,,"95,300","292,938,300","276,633,300","256,072,700",,"2,661,000","1,835,763,800","1,834,811,300","259,303,800","259,303,800","1,573,840,100",-,"2,090,884,000","1,834,811,300","1,809,043,200","460,286,900","2,182,043,000","1,809,043,200","367,792,300",,"25,930,380","25,930,380",-,-,"23,974,900","91,672,900","21,705,600",100,"525,219,800",-,"25,768,100","5,436,600","20,331,500","18,730,200","68,656,700","68,656,700","35,681,000","20,560,600","1,729,900","1,729,900","265,600","20,560,600",,"223,965,400","25,958,200","25,958,200","1,343,000","20,071,200","87,683,200",,,"11,914,100",,"56,347,200",,,"145,480,300","608,700","-246,626","18,730,200","4,372,200","129,652,000","2,107,700","11,914,100",-,"-54,679,800","952,500",,,,,,,,,,,,,,,,,,,,,,,,
Taiwan Semiconductor Manufacturing Company Limited,12/30/2019,"2,264,725,000","822,613,900","594,463,700","455,399,300","452,734,400","2,664,900","139,064,400","139,822,300","135,978,000","51,600","82,981,200","5,320,800","1,442,111,100","1,369,609,800","3,929,391,300",0,"18,055,800","2,942,051,000",,"-2,559,781,500","30,092,000","11,473,200","4,124,300",,"1,742,900","650,337,700","598,363,800","423,408,500","367,035,300","179,581,800","150,322,300","150,322,300",,"150,322,300",,,"984,100","51,973,900","40,141,800","25,100,000",,"2,305,200","1,614,387,300","1,613,705,600","259,303,800","259,303,800","1,325,630,400","321,822,000","1,638,805,600","1,613,705,600","1,593,052,600","224,250,100","1,789,127,900","1,593,052,600","190,464,100",,"25,930,380","25,930,380",-,-,"22,087,600","51,969,100","8,924,500","25,900","440,989,400","562,600","20,653,000","5,693,400","14,959,600","18,618,800","40,094,300","40,094,300","23,648,900","15,041,800","344,400","344,400","176,900","15,041,800",,"528,295,100","17,928,400","17,928,400","2,085,000","16,272,300","56,373,200",,,"9,182,500",,"56,339,700",,,"138,908,600","913,700","-325,300","18,618,800","7,348,900","129,652,000","1,434,900","9,182,500","321,822,000","-27,568,300","681,700",,,,,,,,,,,,,,,,,,,,,,,,
Broadcom Inc.,10/30/2022,"73,249,000","18,504,000","12,416,000","12,416,000",,,,"2,958,000","2,958,000",,"1,925,000","341,000","54,745,000","2,223,000","5,827,000",0,"195,000","4,413,000",,"-3,604,000",,,,,"1,797,000","50,540,000","7,052,000","2,071,000","1,678,000","998,000","440,000","403,000",,"403,000","2,931,000","2,931,000","408,000","43,488,000","39,075,000","39,053,000",-,"4,003,000","22,709,000","22,709,000",0,0,"1,604,000","-54,000","61,762,000","22,709,000","-28,016,000","11,452,000","62,165,000","-28,016,000","39,515,000","27,040,000","418,000","418,000",-,-,"179,000","966,000","780,000",,"1,156,000",,"50,725,000","43,614,000","7,111,000",,"680,000",,"1,202,000","22,000","410,000",,"410,000","59,000","864,000","63,000",,,,,"393,000","393,000","37,000",,0,"21,159,000",,,,,,,,-,,,"-54,000",,,-,-,,,,,,,,,,,,,,,,,,,,,,
Broadcom Inc.,10/30/2021,"75,570,000","16,586,000","12,163,000","12,163,000",,,,"2,071,000","2,071,000",,"1,297,000","516,000","58,984,000","2,348,000","5,544,000",0,"195,000","4,161,000",,"-3,196,000",,,,,"1,812,000","50,581,000","6,281,000","1,627,000","1,627,000","1,086,000","290,000","290,000",,-,"2,619,000","2,619,000","679,000","44,300,000","39,440,000","39,440,000",-,"4,294,000","24,989,000","24,989,000","27,000",0,"748,000","-116,000","64,429,000","24,962,000","-29,835,000","10,305,000","64,692,000","-29,862,000","39,730,000","27,567,000","413,000","413,000","4,668,000","-2,597,000","194,000","680,000","423,000",,"1,150,000",,"54,824,000","43,450,000","11,374,000",,"541,000",,"1,066,000",-,"566,000",,"566,000",-,"539,000","38,000",,,,,-,-,-,,"27,000","24,330,000",,,,,,,,-,,,"-116,000",,,"27,000","4,000",,,,,,,,,,,,,,,,,,,,,,
Broadcom Inc.,10/30/2020,"75,933,000","11,895,000","7,618,000","7,618,000",,,,"2,297,000","2,297,000",,"1,003,000","590,000","64,038,000","2,509,000","5,331,000",0,"194,000","3,891,000",,"-2,822,000",,,,,"1,300,000","52,032,000","6,371,000","1,276,000","1,276,000","836,000","827,000","827,000",,-,"2,620,000","2,620,000","771,000","45,661,000","40,235,000","40,235,000",-,"4,603,000","23,901,000","23,901,000","27,000",0,0,"-108,000","64,136,000","23,874,000","-36,328,000","5,524,000","64,936,000","-36,355,000","41,062,000","33,444,000","407,000","407,000","2,471,000","-174,000","122,000","558,000","323,000",,"1,133,000",,"60,229,000","43,447,000","16,782,000",,"440,000",,"877,000",-,"823,000",,"823,000",-,"387,000","113,000",,,,,-,-,-,,"27,000","23,982,000",,,,,,,,-,,,"-108,000",,,"27,000","4,000",,,,,,,,,,,,,,,,,,,,,,
Broadcom Inc.,10/30/2019,"67,493,000","9,917,000","5,055,000","5,055,000",,,,"3,259,000","3,259,000",,"874,000","427,000","57,576,000","2,565,000","4,896,000",0,"189,000","3,544,000",,"-2,331,000",,,,,"743,000","42,523,000","6,899,000","1,393,000","1,084,000","855,000","2,787,000","2,787,000",,-,"1,501,000","1,501,000","577,000","35,624,000","30,011,000","30,011,000","116,000","5,497,000","24,970,000","24,970,000","29,000",0,0,"-140,000","54,981,000","24,941,000","-29,298,000","3,018,000","57,739,000","-29,327,000","32,798,000","27,743,000","398,000","398,000","3,437,000","-178,000","121,000","414,000","339,000",,"1,078,000",,"54,268,000","36,714,000","17,554,000",,"229,000",,"641,000",-,-,,-,-,"302,000","85,000",,,,,"309,000","214,000",-,,"29,000","25,081,000",,,,,,,,"29,000",,,"-140,000",,,"29,000",-,,,,,,,,,,,,,,,,,,,,,,
ASML Holding N.V.,12/30/2022,"36,300,400","23,064,900","7,376,000","7,268,300","1,523,500","5,744,800","107,700","7,047,000","5,323,800","1,488,600","7,199,700","266,400","13,235,500","4,136,900","7,182,100",0,"3,314,000","3,279,700","587,700","-3,045,200","923,600",,,,"15,900","27,489,600","17,983,600","4,756,400","2,880,500","2,565,200","746,200","746,200",,"746,200","12,481,000","12,481,000","17,983,600","9,506,000","3,514,200","3,514,200",,"275,900","8,810,800","8,810,800","36,300","36,300","9,046,700","428,300","12,325,000","8,810,800","3,412,800","5,081,300","13,071,200","3,412,800","4,260,400",,"403,138","394,589","5,327,900","-4,100","3,198,900","2,163,900","2,303,800","17,300",,700,"5,398,000","4,555,600","842,400","923,600","315,300",,,,"5,536,900","267,000","5,269,900",,"1,158,500",,"1,672,800","1,672,800","652,800",,"1,875,900",,,,,"3,940,800","4,641,300","8,549",,,,"923,600",,,,,"2,761,700",,,,,"234,600","-466,900",-,0,-,"364,400","71,100","454,900","179,000",,,,,,,,,,,,,
ASML Holding N.V.,12/30/2021,"30,231,000","18,190,200","7,590,300","6,951,800","1,891,800","5,060,000","638,500","4,556,900","3,028,000","1,350,200","5,179,200","148,800","12,040,800","3,147,500","5,779,900",0,"2,803,700","2,449,500","525,800","-2,632,400","892,500",,,,"15,000","20,090,400","12,298,000","3,853,700","2,418,200","2,116,300","509,100","509,100",,-,"7,935,200","7,935,200","12,298,000","7,792,400","4,075,000","4,075,000",,-,"10,140,600","10,140,600","36,500","36,500","8,317,300","333,500","14,215,600","10,140,600","4,632,900","5,892,200","14,724,700","4,632,900","4,584,100",,"406,475","402,602","3,032,500","-4,500","2,668,300","1,749,900","1,179,000","52,200",,900,"5,507,700","4,555,600","952,100","892,500","301,900",,,,"3,466,300","240,600","3,225,700",,"662,800",,"1,098,700","1,098,700","735,300",,"1,435,500",,,,,"3,876,100","2,422,800","3,874",,,,-,,,,,-,,,,,"178,700","-418,000",0,"47,300","391,000","124,400","81,400","251,100",-,,,,,,,,,,,,,
ASML Holding N.V.,12/30/2020,"27,267,400","15,930,000","7,351,600","6,049,400","662,200","5,387,200","1,302,200","3,332,900","1,310,300","1,829,700","4,569,400","92,600","11,337,400","2,815,200","5,366,900",0,"2,432,200","2,257,100","640,200","-2,551,700","820,700",,,,"14,900","13,402,000","6,603,500","2,633,900","1,487,900","1,377,900","15,400","15,400",,-,"3,954,200","3,954,200",-,"6,798,500","4,662,800","4,662,800",,-,"13,865,400","13,865,400","37,600","37,600","10,731,500","179,400","18,528,200","13,865,400","8,187,400","9,326,500","18,543,600","8,187,400","4,678,200",,"419,497","416,514","1,313,100","-2,800","2,073,400","1,805,000","1,164,200","39,000",,"37,400","5,678,000","4,629,100","1,048,900","820,700","110,000",,,,"1,878,200","238,300","1,639,900",,"544,500",,"671,500","671,500","723,200",,"1,146,000",,,,,"3,780,100","863,200","2,983",,,,-,,,,,-,,,,,"192,900","-473,200",-,"123,800","423,100",-,"67,000","257,500",-,,,,,,,,,,,,,
